,intensidad,ocupacion,vmed,cong,anom,outlier
1462,256,1,66,0,0,0
1463,240,1,60,0,0,0
1464,390,3,65,0,0,0
1465,301,2,68,0,0,0
1466,300,-1,58,0,0,0
1467,444,1,61,0,0,0
1468,240,1,68,0,0,0
1469,260,2,57,0,0,0
1470,406,1,63,0,0,0
1471,456,2,61,0,0,0
1472,571,1,68,0,0,0
1473,264,2,61,0,0,0
1474,466,1,64,0,0,0
1475,480,3,67,0,0,0
1476,600,3,63,0,0,0
1477,886,5,61,1,0,0
1478,721,3,59,0,0,0
1479,600,4,62,0,0,0
1480,720,3,62,0,0,0
1481,825,3,58,1,0,0
1482,860,4,59,1,0,0
1483,853,4,61,1,0,0
1484,855,4,62,1,0,0
1485,900,3,62,1,0,0
1486,585,4,60,0,0,0
1487,1188,6,57,1,0,0
1488,841,4,63,1,0,0
1489,1008,4,60,1,0,0
1490,1044,3,62,1,0,0
1491,552,3,62,0,0,0
1492,1100,4,59,1,0,0
1493,885,3,60,1,0,0
1494,984,5,59,1,0,0
1495,756,2,63,0,0,0
1496,803,5,63,1,0,0
1497,984,5,58,1,0,0
1498,804,2,62,1,0,0
1499,674,3,60,0,0,0
1500,810,2,62,1,0,0
1501,935,7,57,1,0,0
1502,720,2,59,0,0,0
1503,811,5,59,1,0,0
1504,916,6,60,1,0,0
1505,870,5,63,1,0,0
1506,937,3,58,1,0,0
1507,860,4,65,1,0,0
1508,780,3,60,0,0,0
1509,924,3,63,1,0,0
1510,1170,8,56,1,0,0
1511,1020,6,58,1,0,0
1512,1259,5,60,1,0,0
1513,961,5,65,1,0,0
1514,1245,5,59,1,0,0
1515,1160,5,56,1,0,0
1516,1152,4,60,1,0,0
1517,936,3,62,1,0,0
1518,1050,6,60,1,0,0
1519,720,5,60,0,0,0
1520,840,4,58,1,0,0
1521,720,2,62,0,0,0
1522,722,3,63,0,0,0
1523,435,4,56,0,0,0
1524,1020,5,56,1,0,0
1525,1020,3,64,1,0,0
1526,960,4,61,1,0,0
1527,1094,6,58,1,0,0
1528,360,1,62,0,0,0
1529,240,1,63,0,0,0
1530,300,1,66,0,0,0
1531,600,4,62,0,0,0
1532,210,1,61,0,0,0
1533,324,2,59,0,0,0
1534,204,1,62,0,0,0
1535,456,1,68,0,0,0
1536,228,1,61,0,0,0
1537,132,-1,62,0,0,0
1538,120,1,56,0,0,0
1539,180,-1,54,0,0,0
1540,72,-1,36,0,0,0
1541,121,0,39,0,0,0
1542,240,1,63,0,0,0
1543,240,1,69,0,0,0
1544,108,1,36,0,0,0
1545,45,-1,16,0,0,0
1546,48,-1,46,0,0,0
1547,0,0,0,0,0,0
1548,0,0,0,0,0,0
1549,0,0,0,0,0,0
1550,0,0,0,0,0,0
1551,0,0,0,0,0,0
1552,0,0,0,0,0,0
1553,140,-1,65,0,0,0
1554,276,1,68,0,0,0
1555,0,0,0,0,0,0
1556,345,2,65,0,0,0
1557,390,1,63,0,0,0
1558,570,2,63,0,0,0
1559,900,3,66,1,0,0
1560,1176,4,65,1,0,0
1561,1260,6,63,1,0,0
1562,720,4,62,0,0,0
1563,1180,4,65,1,0,0
1564,1140,6,63,1,0,0
1565,1020,5,61,1,0,0
1566,1189,4,60,1,0,0
1567,780,5,61,0,0,0
1568,810,3,64,1,0,0
1569,675,4,64,0,0,0
1570,848,7,58,1,0,0
1571,1120,6,57,1,0,0
1572,1113,4,63,1,0,0
1573,760,2,62,0,0,0
1574,1094,4,59,1,0,0
1575,1080,5,60,1,0,0
